# Live probe of the 122 URLs harvested from .claude/docs/{sports,student-clubs}
# Measured 2026-08-24. Format: <http_status> <effective_url>|<original_url>

403 https://www.on3.com/nil/news/north-carolina-private-high-school-athletes-can-soon-begin-to/|https://www.on3.com/nil/news/north-carolina-private-high-school-athletes-can-soon-begin-to
200 https://www.highschoolot.com/story/the-2026-highschoolot-all-state-girls-basketball-team/22367273/|https://www.highschoolot.com/story/the-2026-highschoolot-all-state-girls-basketball-team/22367273/
200 https://www.maxpreps.com/nc/concord/cannon-cannon-concord-academy-cougars/football/|https://www.maxpreps.com/nc/concord/cannon-cannon-concord-academy-cougars/football/
200 https://www.nba.com/warriors/news/warriors-guard-stephen-curry-honored-charlotte-christian-school-and-davidson-college-north|https://www.nba.com/warriors/news/warriors-guard-stephen-curry-honored-charlotte-christian-school-and-davidson-college-north
403 https://www.wcnc.com/article/news/education/charlotte-christian-new-athletic-center-in-november/275-6a07c866-093e-450d-9470-8e09ff33da03|https://www.wcnc.com/article/news/education/charlotte-christian-new-athletic-center-in-november/275-6a07c866-093e-450d-9470-8e09ff33da03
200 https://www.maxpreps.com/nc/charlotte/charlotte-christian-knights/|https://www.maxpreps.com/nc/charlotte/charlotte-christian-knights/
403 https://www.wcnc.com/article/sports/high-school/charlotte-christian-football-coach-jason-estep-steps-down-chris-james-taking-over/275-fc06a6b9-c055-44d3-b44c-ffa492768ab3|https://www.wcnc.com/article/sports/high-school/charlotte-christian-football-coach-jason-estep-steps-down-chris-james-taking-over/275-fc06a6b9-c055-44d3-b44c-ffa492768ab3
200 https://www.highschoolot.com/|https://www.highschoolot.com/
200 https://www.charlottechristian.com/about/master-campus-plan|https://www.charlottechristian.com/about/master-campus-plan
200 https://www.thecharlotteweekly.com/southcltweekly/james-replaces-estep-as-charlotte-christian-football-coach/article_71a60fea-9db6-11ed-8c63-332aa01ffd72.html|https://www.thecharlotteweekly.com/southcltweekly/james-replaces-estep-as-charlotte-christian-football-coach/article_71a60fea-9db6-11ed-8c63-332aa01ffd72.html
200 https://www.charlottechristian.com/athletics/knights-in-action|https://www.charlottechristian.com/athletics/knights-in-action
200 https://www.charlottechristian.com/athletics/athletic-performance|https://www.charlottechristian.com/athletics/athletic-performance
200 https://www.charlottechristian.com/athletics/knights-accolades|https://www.charlottechristian.com/athletics/knights-accolades
403 https://www.on3.com/high-school/charlotte-christian-charlotte-nc-13023/|https://www.on3.com/high-school/charlotte-christian-charlotte-nc-13023/
200 https://www.charlottechristian.com/athletics/teams|https://www.charlottechristian.com/athletics/teams
200 https://247sports.com/Season/2026-Football/RecruitRankings/?InstitutionGroup=highschool&State;=NC|https://247sports.com/Season/2026-Football/RecruitRankings/?InstitutionGroup=highschool&State;=NC
200 https://en.wikipedia.org/wiki/Stephen_Curry|https://en.wikipedia.org/wiki/Stephen_Curry
404 https://www.coachcomm.com/team/charlotte-christian-high-school|http://www.coachcomm.com/team/charlotte-christian-high-school/
200 https://www.maxpreps.com/nc/charlotte/charlotte-christian-knights/football/|https://www.maxpreps.com/nc/charlotte/charlotte-christian-knights/football/
200 https://www.maxpreps.com/nc/charlotte/charlotte-christian-knights/basketball/|https://www.maxpreps.com/nc/charlotte/charlotte-christian-knights/basketball/
200 https://www.highschoolot.com/story/charlotte-country-day-repeats-ncisaa-d1-girls-track-field-championship/22010604/|https://www.highschoolot.com/story/charlotte-country-day-repeats-ncisaa-d1-girls-track-field-championship/22010604/
200 https://www.maxpreps.com/nc/charlotte/charlotte-christian-knights/basketball/girls/|https://www.maxpreps.com/nc/charlotte/charlotte-christian-knights/basketball/girls/
200 https://blog.rallyfuel.com/north-carolina-nil-laws/|https://blog.rallyfuel.com/north-carolina-nil-laws/
200 https://www.highschoolot.com/story/the-2025-26-ncisaa-team-state-champions-in-every-sport/22322092/|https://www.highschoolot.com/story/the-2025-26-ncisaa-team-state-champions-in-every-sport/22322092/
410 https://www.si.com/high-school/north-carolina/charlotte-christian-school-sets-2025-football-schedule-01jtghjdregp|https://www.si.com/high-school/north-carolina/charlotte-christian-school-sets-2025-football-schedule-01jtghjdregp
200 https://www.highschoolot.com/story/durham-academy-shocks-charlotte-country-day-in-ot-to-win-ncisaa-d1-boys-lacrosse-title/22358718/|https://www.highschoolot.com/story/durham-academy-shocks-charlotte-country-day-in-ot-to-win-ncisaa-d1-boys-lacrosse-title/22358718/
200 https://www.highschoolot.com/story/the-2024-25-ncisaa-team-state-champions-in-every-sport/22016545/|https://www.highschoolot.com/story/the-2024-25-ncisaa-team-state-champions-in-every-sport/22016545/
200 https://www.charlottelatin.org/athletics/hall-of-fame|https://www.charlottelatin.org/athletics/hall-of-fame
200 https://www.charlottelatin.org/support/alumni/recognitions|https://www.charlottelatin.org/support/alumni/recognitions
406 https://www.flowrestling.org/articles/15454487-2026-national-prep-wrestling-championship-pre-seeds|https://www.flowrestling.org/articles/15454487-2026-national-prep-wrestling-championship-pre-seeds
403 https://www.pro-football-reference.com/schools/high_schools.cgi?id=62d74a0e|https://www.pro-football-reference.com/schools/high_schools.cgi?id=62d74a0e
200 https://www.highschoolot.com/story/ncisaa-2026-wrestling-championship-coverage-results-placers/22322289/|https://www.highschoolot.com/story/ncisaa-2026-wrestling-championship-coverage-results-placers/22322289/
200 https://en.wikipedia.org/wiki/Charlotte_Latin_School|https://en.wikipedia.org/wiki/Charlotte_Latin_School
200 https://www.charlottelatin.org/about/campus-map|https://www.charlottelatin.org/about/campus-map
200 https://www.charlottelatin.org/athletics/athletics-facilities|https://www.charlottelatin.org/athletics/athletics-facilities
200 https://www.ncisaa.org/recognition/hall-of-fame/members/|https://www.ncisaa.org/recognition/hall-of-fame/members/
403 https://www.on3.com/high-school/charlotte-latin-school-charlotte-nc-13024/football/alumni/|https://www.on3.com/high-school/charlotte-latin-school-charlotte-nc-13024/football/alumni/
200 https://www.maxpreps.com/nc/charlotte/charlotte-latin-hawks/football/|https://www.maxpreps.com/nc/charlotte/charlotte-latin-hawks/football/
200 https://sports.yahoo.com/articles/2026-national-prep-wrestling-championships-140805426.html|https://sports.yahoo.com/articles/2026-national-prep-wrestling-championships-140805426.html
200 https://www.charlottelatin.org/athletics/meet-the-staff|https://www.charlottelatin.org/athletics/meet-the-staff
200 https://www.highschoolot.com/story/charlotte-latin-wins-ncisaa-d1-boys-swimming-championship-sets-four-records/21295043/|https://www.highschoolot.com/story/charlotte-latin-wins-ncisaa-d1-boys-swimming-championship-sets-four-records/21295043/
200 https://247sports.com/player/david-sanders-46118364/|https://247sports.com/player/david-sanders-46118364/
200 https://clshawks.com/staff-directory/brad-hoover/162|https://clshawks.com/staff-directory/brad-hoover/162
200 https://www.highschoolot.com/ncisaa/17383573/|https://www.highschoolot.com/ncisaa/17383573/
200 https://en.wikipedia.org/wiki/Devon_Dotson|https://en.wikipedia.org/wiki/Devon_Dotson
200 https://www.maxpreps.com/nc/charlotte/charlotte-latin-hawks/wrestling/|https://www.maxpreps.com/high-schools/charlotte-latin-hawks-(charlotte,nc)/wrestling/home.htm
200 https://clshawks.com/news/2025/11/12/football-12-hawks-celebrated-on-signing-day.aspx|https://clshawks.com/news/2025/11/12/football-12-hawks-celebrated-on-signing-day.aspx
200 https://www.liquisearch.com/charlotte_latin_school/notable_alumni|https://www.liquisearch.com/charlotte_latin_school/notable_alumni
200 https://www.highschoolot.com/story/ncisaa-names-spring-sports-all-state-teams-for-2026/22365977/|https://www.highschoolot.com/story/ncisaa-names-spring-sports-all-state-teams-for-2026/22365977/
200 https://en.wikipedia.org/wiki/Providence_Day_School|https://en.wikipedia.org/wiki/Providence_Day_School
200 https://www.maxpreps.com/news/zV4CX-6SUUy9GSmSTHOLEw/north-carolina-high-school-football-rankings-providence-day-no-1-in-2024-preseason-maxpreps-top-25.htm|https://www.maxpreps.com/news/zV4CX-6SUUy9GSmSTHOLEw/north-carolina-high-school-football-rankings-providence-day-no-1-in-2024-preseason-maxpreps-top-25.htm
200 https://www.highschoolot.com/story/full-ncisaa-basketball-playoff-brackets-scores-and-title-winners-from-2025/21853495/|https://www.highschoolot.com/story/full-ncisaa-basketball-playoff-brackets-scores-and-title-winners-from-2025/21853495/
200 https://www.highschoolot.com/story/see-all-ncisaa-track-and-field-champions-podium-placers-from-2026/22363776/|https://www.highschoolot.com/story/see-all-ncisaa-track-and-field-champions-podium-placers-from-2026/22363776/
200 https://www.highschoolot.com/story/providence-day-shuts-out-carmel-christian-for-third-straight-ncisaa-4a-girls-soccer-championship/22359052/|https://www.highschoolot.com/story/providence-day-shuts-out-carmel-christian-for-third-straight-ncisaa-4a-girls-soccer-championship/22359052/
200 https://www.wbtv.com/2020/03/21/chad-grier-comes-home-become-head-football-coach-providence-day/|https://www.wbtv.com/2020/03/21/chad-grier-comes-home-become-head-football-coach-providence-day/
200 https://www.highschoolot.com/ncisaa-championships/21438513/|https://www.highschoolot.com/ncisaa-championships/21438513/
200 https://www.pdschargers.com/hs-teams/football-varsity/|https://www.pdschargers.com/hs-teams/football-varsity/
200 https://www.pdschargers.com/athletic-facilities/|https://www.pdschargers.com/athletic-facilities/
404 https://www.pdschargers.com/teams/4490006/girls/basketball/varsity|https://pdschargers.com/teams/4490006/girls/basketball/varsity
200 https://athletics.cannonschool.org/|https://www.cannonschool.org/athletics
404 https://www.pdschargers.com/football-coaches/|https://pdschargers.com/football-coaches/
404 https://www.pdschargers.com/teams/3816500/girls/soccer/varsity|https://pdschargers.com/teams/3816500/girls/soccer/varsity
200 https://www.highschoolot.com/story/private-schools-in-ncisaa-adopt-nil-policy-for-next-school-year/21265297/|https://www.highschoolot.com/story/private-schools-in-ncisaa-adopt-nil-policy-for-next-school-year/21265297/
403 https://www.on3.com/nil/news/north-carolina-private-high-school-athletes-can-soon-begin-to-profit-from-nil-deals-north-carolina-independent-schools-athletic-association/|https://www.on3.com/nil/news/north-carolina-private-high-school-athletes-can-soon-begin-to-profit-from-nil-deals-north-carolina-independent-schools-athletic-association/
200 https://en.wikipedia.org/wiki/Ikem_Ekwonu|https://en.wikipedia.org/wiki/Ikem_Ekwonu
200 https://www.providenceday.org/alumni-association|https://www.providenceday.org/alumni
404 https://www.pdschargers.com/teams/3816458/boys/cross-country/varsity|https://pdschargers.com/teams/3816458/boys/cross-country/varsity
200 https://www.si.com/high-school/north-carolina/a-closer-look-at-providence-day-s-2025-football-schedule-01jprqcq455s|https://www.si.com/high-school/north-carolina/a-closer-look-at-providence-day-s-2025-football-schedule-01jprqcq455s
200 https://www.highschoolot.com/story/providence-day-too-much-in-ncisaa-d1-girls-lacrosse-championship-downs-charlotte-country-day/22010619/|https://www.highschoolot.com/story/providence-day-too-much-in-ncisaa-d1-girls-lacrosse-championship-downs-charlotte-country-day/22010619/
404 https://www.pdschargers.com/teams/3816508/boys/track/varsity|https://pdschargers.com/teams/3816508/boys/track/varsity
404 https://www.providenceday.org/athletics/teams/athletic-calendar|https://www.providenceday.org/athletics/teams/athletic-calendar
404 https://www.pdschargers.com/2025/02/08/providence-day-celebrates-7-athletes-in-the-february-signing-ceremony/|https://pdschargers.com/2025/02/08/providence-day-celebrates-7-athletes-in-the-february-signing-ceremony/
200 https://www.maxpreps.com/nc/charlotte/providence-day-chargers/|https://www.maxpreps.com/nc/charlotte/providence-day-chargers/
200 https://247sports.com/player/jadyn-davis-46085247/|https://247sports.com/player/jadyn-davis-46085247/
200 https://247sports.com/player/devon-dotson-86263/high-school-155792/|https://247sports.com/player/devon-dotson-86263/high-school-155792/
200 https://www.highschoolot.com/story/ncisaa-basketball-preview-contenders-storylines-in-each-classification/22228844/|https://www.highschoolot.com/story/ncisaa-basketball-preview-contenders-storylines-in-each-classification/22228844/
200 https://www.highschoolot.com/story/forsyth-country-day-storms-back-against-providence-day-wins-second-ncisaa-title-in-three-years/22329645/|https://www.highschoolot.com/story/forsyth-country-day-storms-back-against-providence-day-wins-second-ncisaa-title-in-three-years/22329645/
200 https://www.pdschargers.com/more/about-pds-athletics/|https://www.pdschargers.com/more/about-pds-athletics/
200 https://www.charlottechristian.com/academics/upper-school|https://www.charlottechristian.com/academics/upper-school
200 https://www.charlottechristian.com/academics/middle-school|https://www.charlottechristian.com/academics/middle-school
200 https://www.charlottechristian.com/campus-life/extended-day-after-school-clubs|https://www.charlottechristian.com/campus-life/extended-day-after-school-clubs
200 https://www.charlottechristian.com/campus-life|https://www.charlottechristian.com/campus-life
200 https://en.wikipedia.org/wiki/Grant_Williams_(basketball)|https://en.wikipedia.org/wiki/Grant_Williams_(basketball)
200 https://www.charlottechristian.com/campus-life/knights-serve|https://www.charlottechristian.com/campus-life/knights-serve
200 https://www.charlottecountryday.org/about/deib/program|https://www.charlottecountryday.org/about/deib/program
200 https://www.charlottecountryday.org/about/deib|https://www.charlottecountryday.org/about/deib
200 https://www.charlottecountryday.org/cd-education/middle-school|https://www.charlottecountryday.org/cd-education/middle-school
200 https://www.charlottecountryday.org/news-events/news-details-page/~board/school-news/post/cum-laude-society-induction-ceremony-a-celebration-of-the-whole-student|https://www.charlottecountryday.org/news-events/news-details-page/~board/school-news/post/cum-laude-society-induction-ceremony-a-celebration-of-the-whole-student
200 https://www.charlottecountryday.org/cf_news/view.cfm?newsid=1056|https://www.charlottecountryday.org/cf_news/view.cfm?newsid=1056
200 https://www.charlottecountryday.org/cd-experience/beyond-the-classroom|https://www.charlottecountryday.org/cd-experience/beyond-the-classroom
200 https://www.charlottelatin.org/student-life/student-clubs/clubs|https://www.charlottelatin.org/student-life/student-clubs/clubs
200 https://www.charlottelatin.org/about/diversity-equity-inclusion|https://www.charlottelatin.org/about/diversity-equity-inclusion
200 https://www.pdschargers.com/more/athletic-training-magnus-health/|https://www.pdschargers.com/more/athletic-training-magnus-health/
200 https://www.charlottelatin.org/about/school-news/news-details/~board/news/post/charlotte-latin-students-inducted-into-cum-laude-society|https://www.charlottelatin.org/about/school-news/news-details/~board/news/post/charlotte-latin-students-inducted-into-cum-laude-society
200 https://www.providenceday.org/admissions/why-providence-day|https://www.providenceday.org/admissions/why-providence-day
200 https://www.providenceday.org/about/pd-communications/news-media/post/~board/news-media/post/upper-school-gsa-supports-time-out-youth|https://www.providenceday.org/about/pd-communications/news-media/post/~board/news-media/post/upper-school-gsa-supports-time-out-youth
200 https://sports.yahoo.com/articles/ncisaa-state-championship-central-guide-100000525.html|https://sports.yahoo.com/article/ncisaa-state-championship-central-guide-100000525.html
200 https://www.charlottelatin.org/uploaded/Veracross/Upper_School_Profile_for_Admissions.pdf|https://www.charlottelatin.org/uploaded/Veracross/Upper_School_Profile_for_Admissions.pdf
200 https://www.providenceday.org/the-pd-difference/global-education|https://www.providenceday.org/the-pd-difference/global-education
404 https://www.pdschargers.com/providence-day-athletic-facilities/|https://pdschargers.com/providence-day-athletic-facilities/
200 https://www.providenceday.org/the-pd-difference/equity-inclusion-and-belonging|https://www.providenceday.org/the-pd-difference/equity-inclusion-and-belonging
404 https://www.pdschargers.com/wellness-center-sports-weight-room/|https://pdschargers.com/wellness-center-sports-weight-room/
200 https://www.pdschargers.com/hs-winter-teams/basketball-boys-varsity/|https://www.pdschargers.com/hs-winter-teams/basketball-boys-varsity/
200 https://clshawks.com/news/2026/2/16/wrestling-mat-hawks-dominant-performance-wins-ncisaa-team-title-4-individual-titles-and-coach-of-the-year.aspx|https://clshawks.com/news/2026/2/16/wrestling-mat-hawks-dominant-performance-wins-ncisaa-team-title-4-individual-titles-and-coach-of-the-year.aspx
