ACTION	BUCKET	SCHOOL	COLLEGE	RANK
ADD	nu75	charlotte-christian	Rensselaer Polytechnic Institute	National Rank #64
ADD	nu75	charlotte-christian	Rutgers University-New Brunswick	National Rank #42
ADD	nu75	charlotte-christian	University of California-Irvine	National Rank #32
ADD	nu75	charlotte-christian	University of California-San Diego	National Rank #29
ADD	nu75	charlotte-christian	University of Maryland-College Park	National Rank #42
ADD	nu75	charlotte-christian	University of Pittsburgh-Pittsburgh	National Rank #69
ADD	nu75	charlotte-country-day	Brandeis University	National Rank #69
ADD	nu75	charlotte-country-day	George Washington University	National Rank #59
ADD	nu75	charlotte-country-day	Indiana University	National Rank #73
ADD	nu75	charlotte-country-day	Penn State University	National Rank #59
ADD	nu75	charlotte-country-day	Rensselaer Polytechnic Institute	National Rank #64
ADD	nu75	charlotte-country-day	Santa Clara University	National Rank #59
ADD	nu75	charlotte-country-day	University of California (Berkeley)	National Rank #15
ADD	nu75	charlotte-country-day	University of California (Davis)	National Rank #32
ADD	nu75	charlotte-country-day	University of California (Irvine)	National Rank #32
ADD	nu75	charlotte-country-day	University of California (Los Angeles)	National Rank #17
ADD	nu75	charlotte-country-day	University of California (San Diego)	National Rank #29
ADD	nu75	charlotte-country-day	University of California (Santa Barbara)	National Rank #40
ADD	nu75	charlotte-country-day	University of Illinois (Urbana-Champaign)	National Rank #36
ADD	nu75	charlotte-country-day	University of Massachusetts (Amherst)	National Rank #64
ADD	nu75	charlotte-country-day	University of North Carolina (Chapel Hill)	National Rank #26
ADD	nu75	charlotte-country-day	University of Texas	National Rank #30
ADD	nu75	charlotte-country-day	University of Wisconsin	National Rank #36
ADD	nu75	charlotte-latin	Brandeis University	National Rank #69
ADD	nu75	charlotte-latin	George Washington University	National Rank #59
ADD	nu75	charlotte-latin	Indiana University	National Rank #73
ADD	nu75	charlotte-latin	Penn State University	National Rank #59
ADD	nu75	charlotte-latin	Rensselaer Polytechnic Institute	National Rank #64
ADD	nu75	charlotte-latin	Rutgers University (New Brunswick)	National Rank #42
ADD	nu75	charlotte-latin	Stony Brook University	National Rank #59
ADD	nu75	charlotte-latin	The University of Texas	National Rank #30
ADD	nu75	charlotte-latin	University of California (Berkeley)	National Rank #15
ADD	nu75	charlotte-latin	University of California (Davis)	National Rank #32
ADD	nu75	charlotte-latin	University of California (Irvine)	National Rank #32
ADD	nu75	charlotte-latin	University of California (Los Angeles)	National Rank #17
ADD	nu75	charlotte-latin	University of California (Riverside)	National Rank #75
ADD	nu75	charlotte-latin	University of California (San Diego)	National Rank #29
ADD	nu75	charlotte-latin	University of California (Santa Barbara)	National Rank #40
ADD	nu75	charlotte-latin	University of Massachusetts (Amherst)	National Rank #64
ADD	nu75	charlotte-latin	University of North Carolina - Chapel Hill	National Rank #26
ADD	nu75	charlotte-latin	University of Wisconsin	National Rank #36
ADD	nu75	davidson-day	Brandeis University	National Rank #69
ADD	nu75	davidson-day	George Washington University	National Rank #59
ADD	nu75	davidson-day	Penn State University	National Rank #59
ADD	nu75	davidson-day	Rensselaer Polytechnic Institute	National Rank #64
ADD	nu75	davidson-day	Tulane University of Louisiana	National Rank #69
ADD	nu75	davidson-day	University of California, Davis	National Rank #32
ADD	nu75	davidson-day	University of California, Merced	National Rank #57
ADD	nu75	davidson-day	University of Minnesota Twin Cities	National Rank #59
ADD	nu75	gaston-day	Brandeis University	National Rank #69
ADD	nu75	gaston-day	George Washington University	National Rank #59
ADD	nu75	gaston-day	Indiana University (Bloomington)	National Rank #73
ADD	nu75	gaston-day	Penn State University (University Park)	National Rank #59
ADD	nu75	gaston-day	Rensselaer Polytechnic Institute	National Rank #64
ADD	nu75	gaston-day	Santa Clara University	National Rank #59
ADD	nu75	gaston-day	Stony Brook University	National Rank #59
ADD	nu75	gaston-day	The College of William and Mary	National Rank #51
ADD	nu75	gaston-day	Tulane University of Louisiana	National Rank #69
ADD	nu75	gaston-day	University of California (Berkeley	National Rank #15
ADD	nu75	gaston-day	University of California (Davis)	National Rank #32
ADD	nu75	gaston-day	University of California (Irvine)	National Rank #32
ADD	nu75	gaston-day	University of California (Los Angeles)	National Rank #17
ADD	nu75	gaston-day	University of California (Merced)	National Rank #57
ADD	nu75	gaston-day	University of California (Riverside)	National Rank #75
ADD	nu75	gaston-day	University of California (San Diego)	National Rank #29
ADD	nu75	gaston-day	University of California (Santa Barbara)	National Rank #40
ADD	nu75	gaston-day	University of Massachusetts (Amherst)	National Rank #64
ADD	nu75	gaston-day	University of Virginia (Main Campus)	National Rank #26
ADD	nu75	gaston-day	University of Washington (Seattle Campus)	National Rank #42
ADD	nu75	gaston-day	University of Wisconsin (Madison)	National Rank #36
ADD	nu75	providence-day	Binghamton University	National Rank #73
ADD	nu75	providence-day	Brandeis University	National Rank #69
ADD	nu75	providence-day	College of William and Mary	National Rank #51
ADD	nu75	providence-day	George Washington University	National Rank #59
ADD	nu75	providence-day	Indiana University	National Rank #73
ADD	nu75	providence-day	Penn State University	National Rank #59
ADD	nu75	providence-day	Rensselaer Polytechnic Institute	National Rank #64
ADD	nu75	providence-day	SUNY Buffalo	National Rank #75
ADD	nu75	providence-day	Santa Clara University	National Rank #59
ADD	nu75	providence-day	Stony Brook University	National Rank #59
ADD	nu75	providence-day	University of California–Berkeley	National Rank #15
ADD	nu75	providence-day	University of California–Davis	National Rank #32
ADD	nu75	providence-day	University of California–Irvine	National Rank #32
ADD	nu75	providence-day	University of California–Los Angeles	National Rank #17
ADD	nu75	providence-day	University of California–Merced	National Rank #57
ADD	nu75	providence-day	University of California–Riverside	National Rank #75
ADD	nu75	providence-day	University of California–San Diego	National Rank #29
ADD	nu75	providence-day	University of California–Santa Barbara	National Rank #40
ADD	nu75	providence-day	University of Illinois	National Rank #36
ADD	nu75	providence-day	University of Massachusetts	National Rank #64
ADD	nu75	providence-day	University of North Carolina–Chapel Hill	National Rank #26
ADD	nu75	providence-day	University of Texas	National Rank #30
ADD	nu75	providence-day	University of Wisconsin	National Rank #36
REMOVE	lac75	charlotte-country-day	Allegheny College	Liberal Rank #76
REMOVE	lac75	charlotte-latin	Allegheny College	Liberal Rank #76
REMOVE	lac75	davidson-day	Allegheny College	Liberal Rank #76
REMOVE	lac75	gaston-day	Tougaloo College	Liberal Rank #180
REMOVE	nu75	cannon	University of Arizona	National Rank #127
REMOVE	nu75	cannon	University of Colorado Boulder	National Rank #97
REMOVE	nu75	cannon	University of Delaware	National Rank #88
REMOVE	nu75	carmel-christian	University of Arizona	National Rank #127
REMOVE	nu75	carmel-christian	University of Colorado	National Rank #97
REMOVE	nu75	carmel-christian	University of Tennessee	National Rank #102
REMOVE	nu75	charlotte-christian	University of Arizona	National Rank #127
REMOVE	nu75	charlotte-christian	University of Delaware	National Rank #88
REMOVE	nu75	charlotte-country-day	University of Arizona	National Rank #127
REMOVE	nu75	charlotte-country-day	University of Delaware	National Rank #88
REMOVE	nu75	charlotte-country-day	University of Tennessee	National Rank #102
REMOVE	nu75	charlotte-latin	University of Arizona	National Rank #127
REMOVE	nu75	charlotte-latin	University of Colorado Boulder	National Rank #97
REMOVE	nu75	charlotte-latin	University of Delaware	National Rank #88
REMOVE	nu75	covenant-day	University of Arizona	National Rank #127
REMOVE	nu75	covenant-day	University of Colorado	National Rank #97
REMOVE	nu75	covenant-day	University of Tennessee	National Rank #102
REMOVE	nu75	davidson-day	University of Arizona	National Rank #127
REMOVE	nu75	davidson-day	University of Colorado Boulder	National Rank #97
REMOVE	nu75	gaston-day	University of Colorado Boulder	National Rank #97
REMOVE	nu75	providence-day	University of Arizona	National Rank #127
REMOVE	nu75	providence-day	University of Delaware	National Rank #88
REMOVE	nu75	providence-day	University of Tennessee	National Rank #102
